feature_index,feature,feature_display,frequency,abs_coef
65,cat__Carcinoma nodule_0,Carcinoma nodule(None),1.0,0.3392798602581024
57,cat__N stage_2,N stage(N2),1.0,0.2210017889738083
55,cat__N stage_0,N stage(N0),1.0,0.17875537276268005
60,cat__Differentiation grade_G3,Differentiation grade(G3),1.0,0.16967369616031647
33,num__CEA,CEA(ng/ml),1.0,0.16722723841667175
72,cat__PMS2_0,PMS2(-),1.0,0.15507787466049194
22,num__Treg cells %,Treg cells %,1.0,0.1401740461587906
45,num__TNLE,TNLE,1.0,0.12474208325147629
23,num__CD4+ count,CD4+ count(cells/ul),1.0,0.1232987567782402
61,cat__Vascular invasion_0,Vascular invasion(No),1.0,0.11105793714523315
63,cat__Perineural invasion_0,Perineural invasion(No),1.0,0.10378581285476685
73,cat__PMS2_1,PMS2(+),1.0,0.10003730654716492
82,cat__KRAS mutant_0,KRAS mutant(No),1.0,0.0973328948020935
62,cat__Vascular invasion_1,Vascular invasion(Yes),1.0,0.07989149540662766
64,cat__Perineural invasion_1,Perineural invasion(Yes),1.0,0.0718931183218956
58,cat__Differentiation grade_G1,Differentiation grade(G1),0.995,0.11286330968141556
7,num__IL8,IL8(pg/mL),0.995,0.11168694496154785
53,cat__T stage_T1-T2,T stage(T1-T2),0.995,0.0778326615691185
47,num__Ki67,Ki67(%),0.985,0.09115830808877945
83,cat__KRAS mutant_1,KRAS mutant(Yes),0.985,0.06586167961359024
31,num__CA242,CA242(U/mL),0.975,0.08655022084712982
81,cat__BRAF mutant_1,BRAF mutant(Yes),0.965,0.06880535930395126
54,cat__T stage_T3-T4,T stage(T3-T4),0.96,0.042741190642118454
89,cat__mGPS_1,mGPS: 1,0.95,0.08676018565893173
20,num__CD19+ B cells %,CD19+ B cells %,0.945,0.07822020351886749
27,num__CD3+ count,CD3+ count(cells/ul),0.94,0.07571054995059967
32,num__CA199,CA199(U/mL),0.925,0.06796125322580338
1,num__LDH,LDH(U/L),0.885,0.05491289123892784
78,cat__Colonic obstruction_0,Colonic obstruction(No),0.865,0.04607491195201874
48,num__NLR,NLR,0.8,0.04948034882545471
46,num__PLN,PLN,0.74,0.023921281099319458
25,num__CD19+ count,CD19+ count(cells/ul),0.705,0.026225082576274872
21,num__NK cells %,NK cells %,0.7,0.016968367621302605
77,cat__Family history_1,Family history(Yes),0.695,0.031789492815732956
80,cat__BRAF mutant_0,BRAF mutant(No),0.695,0.015658989548683167
43,num__Tumor size,Tumor size(cm),0.69,0.04871244356036186
67,cat__Carcinoma nodule_2,Carcinoma nodule(≥4),0.685,0.024635516107082367
74,cat__MSH6_0,MSH6(-),0.66,0.029352528974413872
3,num__Total protein,Total protein(g/L),0.66,0.029147539287805557
50,num__LMR,LMR,0.505,0.022961655631661415
79,cat__Colonic obstruction_1,Colonic obstruction(Yes),0.495,0.0
16,num__Age,Age(years),0.44,0.010022368282079697
44,num__Tumor volume,Tumor volume(cm^3),0.44,0.00206362409517169
39,num__Platelet count,Platelet count(10^9/L),0.405,0.008350029587745667
42,num__BMI,BMI(kg/m²),0.375,0.0055158138275146484
19,num__CD8+ T cells %,CD8+ T cells %,0.325,0.0
29,num__Calcium,Calcium(mmol/L),0.3,0.0009840137790888548
76,cat__Family history_0,Family history(No),0.3,0.0
90,cat__mGPS_2,mGPS: 2,0.285,0.0
24,num__CD8+ count,CD8+ count(cells/ul),0.265,0.002486723242327571
13,num__IL17,IL17(pg/mL),0.265,0.0006285580457188189
30,num__CA724,CA724(IU/mL),0.265,0.0
35,num__RBC,RBC(10^12/L),0.25,0.0
52,num__PNI,PNI,0.235,0.0
66,cat__Carcinoma nodule_1,Carcinoma nodule(1-3),0.2,0.0
38,num__Lymphocyte count,Lymphocyte count(10^9/L),0.185,0.0
75,cat__MSH6_1,MSH6(+),0.18,0.0
84,cat__NRAS mutant_0,NRAS mutant(No),0.125,0.0
87,cat__MSI-H_1,MSI-H,0.105,0.0
2,num__Prealbumin,Prealbumin(mg/L),0.09,0.0
11,num__IL-1β,IL-1β(pg/mL),0.09,0.0
9,num__IFN-γ,IFN-γ(pg/mL),0.085,0.0
12,num__IL6,IL6(pg/mL),0.08,0.0
28,num__CD3+HLA-DR+ T cells %,CD3+HLA-DR+ T cells %,0.065,0.0
85,cat__NRAS mutant_1,NRAS mutant(Yes),0.055,0.0
41,num__CRP,CRP(mg/L),0.045,0.0
6,num__IL5,IL5(pg/mL),0.035,0.0
37,num__Neutrophil count,Neutrophil count(10^9/L),0.035,0.0
86,cat__MSI-H_0,MSS,0.035,0.0
70,cat__MSH2_0,MSH2(-),0.025,0.0
18,num__CD4+ T cells %,CD4+ T cells %,0.02,0.0
34,num__WBC,WBC(10^9/L),0.02,0.0
88,cat__mGPS_0,mGPS: 0,0.02,0.0
26,num__NK count,NK count(cells/ul),0.015,0.0
40,num__Monocyte count,Monocyte count(10^9/L),0.015,0.0
51,num__SII,SII,0.015,0.0
0,num__Albumin,Albumin(g/L),0.01,0.0
17,num__CD3+ T cells %,CD3+ T cells %,0.005,0.0
4,num__IL10,IL10(pg/mL),0.0,0.0
5,num__IL4,IL4(pg/mL),0.0,0.0
8,num__IL12-p70,IL12-p70(pg/mL),0.0,0.0
10,num__IFN-α,IFN-α(pg/mL),0.0,0.0
14,num__TNF-α,TNF-α(pg/mL),0.0,0.0
15,num__IL2,IL2(pg/mL),0.0,0.0
36,num__Hemoglobin,Hemoglobin(g/L),0.0,0.0
49,num__PLR,PLR,0.0,0.0
56,cat__N stage_1,N stage(N1),0.0,0.0
59,cat__Differentiation grade_G2,Differentiation grade(G2),0.0,0.0
68,cat__MLH1_0,MLH1(-),0.0,0.0
69,cat__MLH1_1,MLH1(+),0.0,0.0
71,cat__MSH2_1,MSH2(+),0.0,0.0
